Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
AUBO_Base,0.00278040178371279,0.0137619089402064,-0.000267427347976779,0,0,0,0.0536915416174576,2.70801043475091E-05,-4.02713297525871E-07,2.10419992156217E-07,4.87071775355948E-05,1.75973062686978E-07,3.26759005649058E-05,0,0,0,0,0,0,package://P3_ROS/meshes/AUBO_Base.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://P3_ROS/meshes/AUBO_Base.STL,,AUBO Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Below_Palm,-0.00161904873633678,0.0170034509609812,0.000924243542658435,0,0,0,0.0583769628757469,4.54620375746746E-05,-3.49858982409835E-07,2.96293190384862E-07,4.71250564940575E-05,-1.72909999743254E-06,3.52450763174062E-05,0,0,0,0,0,0,package://P3_ROS/meshes/Below_Palm.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://P3_ROS/meshes/Below_Palm.STL,,Below Palm-1,Origin_Wrist_2,Axis_Wrist_2,Wrist_2,revolute,0,0,0.049,1.5708,0,1.5708,AUBO_Base,0,0,1,0,0,-1.1294,1.2489,,,,,,,,
Knuckle_Holder,0.00127180755281365,0.0369506250760439,-0.00063534532092032,0,0,0,0.116848968632615,0.000126096351062626,7.84970809749604E-06,-2.9838290073608E-06,0.000151450089009521,2.70550323065712E-06,0.000236651192540967,0,0,0,0,0,0,package://P3_ROS/meshes/Knuckle_Holder.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://P3_ROS/meshes/Knuckle_Holder.STL,,Kuckle_Holder_P3-1,Origin_Wrist_1,Axis_Wrist_1,Wrist_1,revolute,0,0.048,0.0027545,0,1.5708,0,Below_Palm,0,0,1,0,0,-0.41544,0.41544,,,,,,,,
T_CMC,-0.0188547439499926,0.0171938818918783,-0.02142438462294,0,0,0,0.00757646844060059,1.8547197356156E-06,3.95328998638882E-08,-4.21686926967571E-08,8.95427700424448E-07,-2.71565458332892E-07,2.01850506438788E-06,0,0,0,0,0,0,package://P3_ROS/meshes/T_CMC.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://P3_ROS/meshes/T_CMC.STL,,Thumb CMC-1,Origin_Thumb_CMC,Axis_Thumb_CMC,Thumb_CMC,revolute,-0.03389,-0.0067732,0.011594,2.1814,-0.59941,-0.7352,Knuckle_Holder,0.64279,0,0.76604,0,0,0,1.5708,,,,,,,,
T_MCP,-0.0191724859142255,0.0222044167762714,-0.0105839597746515,0,0,0,0.00341830832417688,5.43824756092306E-07,4.39696982794731E-12,-1.36130893885665E-11,4.21320145077056E-07,1.45881129591116E-08,6.4153361173526E-07,0,0,0,0,0,0,package://P3_ROS/meshes/T_MCP.STL,0.698039215686274,0.698039215686274,0.698039215686274,0.27,0,0,0,0,0,0,package://P3_ROS/meshes/T_MCP.STL,,Thumb_MCP-1,Origin_Thumb_MCP,Axis_Thumb_MCP,Thumb_MCP,revolute,0,0.051,-0.011349,0.024222,0,0,T_CMC,1,0,0,0,0,0.86457,1.5528,,,,,,,,
T_IP,-0.019153877270479,0.0208567015566215,-0.011166175758786,0,0,0,0.00367311050909873,3.21810615947136E-07,2.91776079744812E-11,-5.04769074712269E-10,2.60686503696625E-07,7.12951435821031E-08,3.29785541515355E-07,0,0,0,0,0,0,package://P3_ROS/meshes/T_IP.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://P3_ROS/meshes/T_IP.STL,,Thumb_IP-1,Origin_Thumb_IP,Axis_Thumb_IP,Thumb_IP,revolute,0,0.0465,0,0.0052649,0,0,T_MCP,1,0,0,0,0,1.3741,1.5123,,,,,,,,
I_Below_MCP,-1.91332690316348E-08,0.00523994189276999,0.00438611499640017,0,0,0,0.00534951941489969,7.32906606259805E-07,-1.39714191646785E-14,-8.65569458872673E-12,6.96470076212018E-07,-2.16946811935413E-07,7.16960840620401E-07,0,0,0,0,0,0,package://P3_ROS/meshes/I_Below_MCP.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://P3_ROS/meshes/I_Below_MCP.STL,,Index_Below_MCP_P3-1,Origin_Index_Below_MCP,Axis_Index_Below_MCP,Index_Below_MCP,revolute,-0.042,0.087,0,3.1416,0,-3.1416,Knuckle_Holder,0,0,1,0,0,-0.52018,0,,,,,,,,
I_MCP,1.60706075696959E-07,0.0214534559005647,-0.0126089340150891,0,0,0,0.0042784827079899,8.95459066830798E-07,5.52207282220504E-13,1.00727231307694E-11,5.21814062850473E-07,-2.37787524308387E-08,1.02538663795254E-06,0,0,0,0,0,0,package://P3_ROS/meshes/I_MCP.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://P3_ROS/meshes/I_MCP.STL,,Index MCP-1,Origin_Index_MCP,Axis_Index_MCP,Index_MCP,revolute,0,0.028,0.0105,0,0,0,I_Below_MCP,1,0,0,0,0,0.34457,1.3654,,,,,,,,
I_PIP,0.0104745637601555,0.0225277058184466,-5.84985698770524E-08,0,0,0,0.00371498527382687,7.38341931114289E-07,-4.06415607145458E-09,-1.83681530443573E-11,4.59557692097787E-07,3.38393387626485E-12,6.17675084887777E-07,0,0,0,0,0,0,package://P3_ROS/meshes/I_PIP.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://P3_ROS/meshes/I_PIP.STL,,Index PIP-1,Origin_Index_PIP,Axis_Index_PIP,Index_PIP,revolute,0,0.051,-0.00225,1.5708,1.5514,1.5708,I_MCP,0,0,1,0,0,1.0562,2.8086,,,,,,,,
I_DIP,0.0102174474149143,0.0199762603712053,2.46091446727548E-07,0,0,0,0.00425159376419967,4.98356420749076E-07,-9.57564593733141E-08,1.60587365235624E-11,4.23167175698519E-07,1.30948453717986E-11,4.28705970306008E-07,0,0,0,0,0,0,package://P3_ROS/meshes/I_DIP.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://P3_ROS/meshes/I_DIP.STL,,Index DIP-1,Origin_Index_DIP,Axis_Index_DIP,Index_DIP,revolute,0,0.048,0,0,0,-0.019349,I_PIP,0,0,1,0,0,1.6956,4.1459,,,,,,,,
